x_mm,group,side_role,N,n_events,n_reached,reach,frac_excluded,npe_mean,mean_ns,rms_ns,fit_mu_ns,sigma_fit_ns,sigma_fit_err_ns,fit_valid,fit_method,display_bin_width_ns,channels
400,top_nearest,top,20,2000,2000,1.0,0.0,366.2775,0.678742,0.068697,0.675194,0.069383,0.005475,True,fixed-25ps-gaussian-core,0.025,"(70,)"
450,end_left,far,4,2000,2000,1.0,0.0,23.639,5.081217,0.30854,5.021721,0.253194,0.008264,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
450,end_right,near,4,2000,2000,1.0,0.0,364.594,1.31066,0.037225,1.30564,0.018214,,False,mean-rms-ultrafine,0.025,"(12, 13, 14, 15)"
450,top_nearest,top,4,2000,2000,1.0,0.0,318.7385,0.364272,0.045957,0.340682,0.007919,,False,mean-rms-ultrafine,0.025,"(73,)"
450,end_left,far,20,2000,1409,0.7045,0.2955,23.639,7.843096,1.707142,7.258405,1.082248,0.043247,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
450,end_right,near,20,2000,2000,1.0,0.0,364.594,1.552987,0.071029,1.553318,0.068191,0.001571,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
450,top_nearest,top,20,2000,2000,1.0,0.0,318.7385,0.66451,0.066942,0.661286,0.065587,0.00481,True,fixed-25ps-gaussian-core,0.025,"(73,)"
500,end_left,far,4,2000,2000,1.0,0.0,20.989,5.312138,0.337056,5.23096,0.273685,0.010815,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
500,end_right,near,4,2000,2000,1.0,0.0,450.7575,1.100996,0.03298,1.089164,0.019615,0.008034,False,mean-rms,0.025,"(12, 13, 14, 15)"
500,top_nearest,top,4,2000,2000,1.0,0.0,367.1165,0.371866,0.047296,0.34649,0.008212,,False,mean-rms-ultrafine,0.025,"(75,)"
