event_id,detected,matched_boundary_detection,orphan_standard_SD,orphan_fraction_of_detected
229,4518,4453,65,0.01438689685701638
230,4927,4857,70,0.014207428455449563
231,4400,4331,69,0.015681818181818182
232,5191,5115,76,0.014640724330572143
233,5186,5107,79,0.015233320478210566
234,7122,7009,113,0.015866329682673406
235,7360,7252,108,0.014673913043478261
236,5362,5273,89,0.01659828422230511
237,4801,4725,76,0.01583003540928973
238,6293,6179,114,0.018115366279993644
239,4622,4545,77,0.016659454781479878
240,4702,4630,72,0.015312632922160783
241,6632,6527,105,0.01583232810615199
242,4887,4804,83,0.016983834663392674
243,5158,5077,81,0.015703761147731678
244,7135,7034,101,0.014155571128241066
245,4744,4685,59,0.012436762225969646
246,6000,5888,112,0.018666666666666668
247,4278,4208,70,0.016362786348761104
248,4725,4653,72,0.015238095238095238
249,4182,4115,67,0.01602104256336681
250,5063,4983,80,0.015800908552241755
251,5289,5204,85,0.016071090943467575
252,9112,8975,137,0.01503511852502195
253,4665,4599,66,0.01414790996784566
254,4770,4689,81,0.016981132075471698
255,5020,4952,68,0.013545816733067729
256,5459,5372,87,0.015936984795750137
257,5222,5119,103,0.019724243584833396
258,4702,4633,69,0.014674606550404083
259,6032,5940,92,0.015251989389920425
260,5667,5589,78,0.013763896241397565
261,4942,4875,67,0.013557264265479563
262,5233,5164,69,0.013185553219950316
263,6032,5933,99,0.016412466843501325
264,4615,4563,52,0.011267605633802818
265,5252,5160,92,0.017517136329017517
266,4855,4779,76,0.01565396498455201
267,6001,5916,85,0.014164305949008499
268,6563,6463,100,0.015236934328813043
269,5319,5242,77,0.014476405339349501
270,6689,6591,98,0.01465091941994319
271,7214,7110,104,0.014416412531189355
272,9810,9658,152,0.015494393476044852
273,4483,4415,68,0.015168414008476466
274,5459,5380,79,0.014471514929474263
275,4699,4640,59,0.012555862949563738
276,4530,4455,75,0.016556291390728478
277,4542,4459,83,0.018273888154997798
278,4896,4825,71,0.014501633986928105
279,5107,5038,69,0.01351086743685138
280,4652,4597,55,0.011822871883061048
281,4849,4776,73,0.01505465044339039
282,5984,5885,99,0.016544117647058824
283,5530,5462,68,0.012296564195298372
284,4620,4560,60,0.012987012987012988
285,5416,5327,89,0.016432791728212704
286,4702,4634,68,0.01446193109315185
287,4737,4655,82,0.017310534093308
288,6869,6777,92,0.013393507060707526
289,5678,5592,86,0.01514617823177175
290,6100,6005,95,0.01557377049180328
291,8780,8631,149,0.016970387243735764
292,6945,6836,109,0.015694744420446365
293,5635,5564,71,0.012599822537710737
294,4942,4872,70,0.014164305949008499
295,5158,5086,72,0.013958898797983715
296,5285,5215,70,0.013245033112582781
297,5392,5303,89,0.01650593471810089
298,6037,5946,91,0.015073712108663243
299,5169,5093,76,0.014703037337976397
300,4560,4487,73,0.016008771929824563
301,5196,5139,57,0.010969976905311778
302,4449,4379,70,0.01573387278040009
303,12464,12273,191,0.015324133504492939
304,5883,5799,84,0.014278429372768995
305,5814,5719,95,0.016339869281045753
306,5062,4983,79,0.01560647965231134
307,6002,5934,68,0.011329556814395202
308,5666,5570,96,0.01694316978468055
309,5361,5285,76,0.014176459615743332
310,4388,4326,62,0.014129443938012761
311,4668,4589,79,0.016923736075407026
312,4875,4814,61,0.012512820512820513
313,11023,10836,187,0.016964528712691645
314,5911,5821,90,0.015225850109964472
315,6278,6180,98,0.015610066900286716
316,5374,5280,94,0.017491626349088202
317,5932,5835,97,0.016351989211058664
318,6046,5958,88,0.014555077737347006
319,6986,6866,120,0.01717721156598912
320,5207,5118,89,0.01709237564816593
321,5115,5022,93,0.01818181818181818
322,5637,5548,89,0.015788540003547985
323,4928,4849,79,0.016030844155844156
324,7537,7419,118,0.015656096590155235
325,5031,4953,78,0.015503875968992248
326,4737,4660,77,0.01625501372176483
327,4635,4560,75,0.016181229773462782
