event_id,produced_scint,produced_optical,detected_left,detected_right,detected_top,edep_total_MeV,edep_nonionizing_MeV,edep_ionizing_MeV,edep_optical_MeV,gun_x_mm
174,20511,21542,435,365,4880,1.9632003694135063,0.0,1.9632003694135063,0.031254719968707066,0.0
175,19807,20858,391,391,4691,1.9144370879178345,0.0,1.9144370879178345,0.030351364891439737,0.0
176,17972,18974,354,360,4358,1.7455636170009754,0.0,1.7455636170009754,0.027772661579159374,0.0
177,20230,21205,418,425,4762,1.928258139497041,0.0,1.928258139497041,0.030988057368119642,0.0
178,27225,28407,524,562,6378,2.5912404664087885,0.0,2.5912404664087885,0.04084276072235189,0.0
179,29871,31259,566,565,7090,2.8896632267898634,0.0,2.8896632267898634,0.04518669098841543,0.0
180,18894,19955,365,389,4620,1.8246353120950805,0.0,1.8246353120950805,0.02873710749638138,0.0
181,15849,16869,308,325,3798,1.5159436708739011,0.0,1.5159436708739011,0.024386462884370404,0.0
182,21498,22523,407,418,5131,2.0579808322901627,0.0,2.0579808322901627,0.032732325212875016,0.0
183,18132,19176,355,354,4333,1.7488257049837763,0.0,1.7488257049837763,0.02756601094154044,0.0
184,16797,17826,328,324,3912,1.6114174156246566,0.0,1.6114174156246566,0.025621824840629717,0.0
185,20390,21409,421,391,4821,1.956846188236913,0.0,1.956846188236913,0.031261589275787524,0.0
186,31555,32851,607,592,7477,3.0446412779106833,0.0,3.0446412779106833,0.047197547049564845,0.0
187,16489,17490,313,343,3928,1.5806725045578272,0.0,1.5806725045578272,0.02515573683223277,0.0
188,48095,50238,969,929,11319,4.6386694636372665,0.0,4.6386694636372665,0.07258058095752365,0.0
189,19365,20372,365,374,4644,1.8740523515611058,0.0,1.8740523515611058,0.029438511231051,0.0
190,25596,26645,492,504,5975,2.443875266173039,0.0,2.443875266173039,0.03811232109051475,0.0
191,16185,17181,343,289,3869,1.5385998769265663,0.0,1.5385998769265663,0.024900352555206687,0.0
192,17637,18625,319,363,4207,1.6720796514880578,0.0,1.6720796514880578,0.02677210438106095,0.0
193,17550,18501,336,365,4205,1.6651795268644791,0.0,1.6651795268644791,0.026615983558385885,0.0
194,17814,18909,323,354,4385,1.7202399418003118,0.0,1.7202399418003118,0.027685840060449357,0.0
195,21253,22284,459,416,5020,2.034419664334029,0.0,2.034419664334029,0.03218254959162453,0.0
196,31399,33174,584,590,7514,3.028976620775639,0.0,3.028976620775639,0.04768447858356935,0.0
197,23647,24920,519,459,5583,2.272089087849037,0.0,2.272089087849037,0.035615005014404774,0.0
198,24035,25062,431,431,5680,2.310607620226816,0.0,2.310607620226816,0.0363665226062972,0.0
199,17325,18331,366,357,4093,1.6683873301000205,0.0,1.6683873301000205,0.02663511352773748,0.0
200,30970,32246,600,606,7242,2.9841282252265966,0.0,2.9841282252265966,0.046389327599144124,0.0
201,17377,18411,348,333,4159,1.6872449521899018,0.0,1.6872449521899018,0.02644061137416994,0.0
202,17366,18369,317,334,4178,1.6651675902617555,0.0,1.6651675902617555,0.02653222533440804,0.0
203,17842,18894,380,339,4304,1.706381386737927,0.0,1.706381386737927,0.027377915183840393,0.0
204,19743,20791,375,405,4716,1.880493550164295,0.0,1.880493550164295,0.030014884723658986,0.0
205,20664,21737,394,423,4958,1.986044142497734,0.0,1.986044142497734,0.03144117831355,0.0
206,17596,18689,364,342,4296,1.7081098827051326,0.0,1.7081098827051326,0.027297932720934594,0.0
207,20048,21100,403,432,4836,1.9144202639314727,0.0,1.9144202639314727,0.030549005429869366,0.0
208,20301,21354,399,408,4860,1.9660294574771864,0.0,1.9660294574771864,0.03077813971229809,0.0
209,16996,17995,330,328,4050,1.6292987108090564,0.0,1.6292987108090564,0.0258710908249518,0.0
210,18752,19798,383,370,4456,1.7960893545112608,0.0,1.7960893545112608,0.028823957087823465,0.0
211,16397,17421,329,337,3966,1.5868572325275963,0.0,1.5868572325275963,0.025441144539776753,0.0
212,20491,21602,440,401,4850,1.9727265763605588,0.0,1.9727265763605588,0.03116107931648631,0.0
213,28764,29914,557,619,6755,2.7414185798388484,0.0,2.7414185798388484,0.04358006747848344,0.0
214,19300,20264,370,386,4621,1.8452573228535114,0.0,1.8452573228535114,0.02942293302580976,0.0
215,25752,26912,475,518,6036,2.4794373602328164,0.0,2.4794373602328164,0.03858311359392462,0.0
216,31985,33724,636,642,7517,3.0837457055201156,0.0,3.0837457055201156,0.04797636072602318,0.0
217,16008,17028,305,327,3767,1.5374207670014206,0.0,1.5374207670014206,0.02442053930331852,0.0
218,22292,23317,474,409,5185,2.1386793004392426,0.0,2.1386793004392426,0.0332321457798415,0.0
219,20617,21625,429,399,4750,1.9660627034068678,0.0,1.9660627034068678,0.03098066816752798,0.0
220,22241,23305,424,472,5186,2.144304949192809,0.0,2.144304949192809,0.03398644216680045,0.0
221,17716,18720,362,340,4183,1.707767200343495,0.0,1.707767200343495,0.026914341577772692,0.0
222,15678,16688,310,320,3670,1.5158546632675263,0.0,1.5158546632675263,0.024057514977911056,0.0
223,17149,18188,370,332,4118,1.6210192188565657,0.0,1.6210192188565657,0.026296631464818435,0.0
224,17353,18387,352,355,4142,1.6653173703977993,0.0,1.6653173703977993,0.02630828235161382,0.0
225,23590,24751,454,469,5606,2.2724201688278614,0.0,2.2724201688278614,0.03584601164120586,0.0
226,17200,18245,345,345,4069,1.6525525781828119,0.0,1.6525525781828119,0.026170112677066926,0.0
227,18073,19095,384,392,4305,1.7378306645659205,0.0,1.7378306645659205,0.02756493156698125,0.0
228,18545,19569,382,388,4365,1.7939643307324735,0.0,1.7939643307324735,0.02812031793656837,0.0
229,16261,17277,333,347,3838,1.5485030234229755,0.0,1.5485030234229755,0.025073585501183823,0.0
230,17549,18597,355,349,4223,1.6935987786825846,0.0,1.6935987786825846,0.026733282324546172,0.0
231,15935,16975,343,282,3775,1.513614649878525,0.0,1.513614649878525,0.024418593703930853,0.0
